"f_room_type","f_neighbourhood_cleansed","f_parking_free_vs_paid","f_parking_type","f_parking_on_vs_off_premises","euro_price_day","n_accommodates","n_bedrooms","n_bathrooms","n_review_scores_rating","n_number_of_reviews","n_reviews_per_month","n_minimum_nights","n_beds","n_days_since","d_airconditioning","d_balcony","d_bathtub","d_bedlinens","d_breakfast","d_changingtable","d_cleaningproducts","d_complimentarybreakfastbuffet","d_conditioner","d_dedicatedworkspace","d_dedicatedworkspacetable","d_diningareafor12people","d_dryer","d_espressomachine","d_gasstove","d_hairdryer","d_hangers","d_hottub","d_inductionstove","d_ironingboard","d_laundromatnearby","d_luggagestorage","d_nespressomachine","d_piano","d_pool","d_portableairconditioning","d_roomdarkeningshades","d_samsungrefrigerator","d_sunloungers","d_valetparkingu2014u20ac30day","d_wifi","d_windowacunit","n_accommodates2","f_bathroom","f_number_of_reviews","n_days_since2","n_days_since3","f_minimum_nights","price","id","neighbourhood_cleansed","room_type","property_type","parking_free_vs_paid","parking_type","parking_on_vs_off_premises","ln_price","ln_accommodates","ln_accommodates2","ln_beds","ln_number_of_reviews","ln_days_since","ln_days_since2","ln_days_since3","ln_review_scores_rating","flag_days_since","flag_review_scores_rating","flag_reviews_per_month"
"Apt","Centro Storico","Paid","Unknown","On_premises",70,4,1,1,100,1,0.07,2,1,452,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,204304,92345408,2,70,24469,"Centro Storico","Apt","Apartment","Paid","Unknown","On_premises",4.24849524204936,1.38629436111989,1.92181205567281,0,0.693147180559945,6.11368217983223,37.3771097959982,228.511770093427,4.60517018598809,0,0,0
"Apt","Centro Storico","Paid","Unknown","On_premises",70,3,1,1,93,3,0.02,2,1,3743,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,14010049,52439613407,2,70,24470,"Centro Storico","Apt","Apartment","Paid","Unknown","On_premises",4.24849524204936,1.09861228866811,1.20694896081258,0,1.38629436111989,8.22764270790443,67.6941045289329,556.962905495595,4.53259949315326,0,0,0
"Apt","Centro Storico","Paid","Unknown","On_premises",135,6,2,1.5,96,0,0.92,2,2,1194,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,0,NA,NA,2,135,24471,"Centro Storico","Apt","Apartment","Paid","Unknown","On_premises",4.90527477843843,1.79175946922805,3.2104019955684,0.693147180559945,0,NA,NA,NA,NA,0,0,0
"Apt","Centro Storico","Paid","Unknown","On_premises",120,6,2,1,60,2,0.02,2,2,3465,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,1,12006225,41601569625,2,120,24472,"Centro Storico","Apt","Apartment","Paid","Unknown","On_premises",4.78749174278205,1.79175946922805,3.2104019955684,0.693147180559945,1.09861228866811,8.150467911624,66.4301271784125,541.436619932753,4.0943445622221,0,0,0
"Apt","Gavinana Galluzzo","No_parking","No_parking","No_parking",75,2,1,1,100,15,0.12,1,1,3739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,13980121,52271672419,1,75,32120,"Gavinana Galluzzo","Apt","Apartment","No_parking","No_parking","No_parking",4.31748811353631,0.693147180559945,0.480453013918201,0,2.77258872223978,8.22657347497711,67.676511139197,556.745791416711,4.60517018598809,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",89,4,2,2,95,20,0.16,3,4,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2,1,14745600,56623104000,3,89,32180,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.48863636973214,1.38629436111989,1.92181205567281,1.38629436111989,3.04452243772342,8.25322764558177,68.1157665697952,562.174927753829,4.55387689160054,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",50,3,1.5,1,91,33,0.31,3,1,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,10188864,32522853888,3,50,39821,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",3.91202300542815,1.09861228866811,1.20694896081258,0,3.52636052461616,8.0684029585697,65.0991263018563,525.2459832542,4.51085950651685,0,0,0
"Apt","Centro Storico","Paid","No_parking","Off_premises",75,4,2,1,86,25,0.2,4,2,3753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,14085009,52861038777,3,75,39822,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",4.31748811353631,1.38629436111989,1.92181205567281,0.693147180559945,3.25809653802148,8.23031079913502,67.7380158503585,557.504923365185,4.45434729625351,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",102,2,1,1,60,2,0.02,3,1,3105,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,9641025,29935382625,3,102,42997,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.62497281328427,0.693147180559945,0.480453013918201,0,1.09861228866811,8.04076899436758,64.653966020783,519.867605342807,4.0943445622221,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",144,3,1,1,80,1,0.01,3,2,3357,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,11269449,37831540293,3,144,43365,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.969813299576,1.09861228866811,1.20694896081258,0.693147180559945,0.693147180559945,8.11880299698004,65.914962103772,535.15059187393,4.38202663467388,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",129,2,1,1,97,7,0.09,3,1,2443,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,5968249,14580432307,3,129,43369,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.85981240436167,0.693147180559945,0.480453013918201,0,2.07944154167984,7.80098207125774,60.8553212760847,474.731270215367,4.57471097850338,0,0,0
"Apt","Centro Storico","Paid","No_parking","Off_premises",100,4,1,1,97,282,2.28,3,2,3714,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,1,2,13793796,51230158344,3,100,44781,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",4.60517018598809,1.38629436111989,1.92181205567281,0.693147180559945,5.64544689764324,8.21986474191265,67.5661763753387,555.384830933499,4.57471097850338,0,0,0
