f_room_type,f_neighbourhood_cleansed,f_parking_free_vs_paid,f_parking_type,f_parking_on_vs_off_premises,euro_price_day,p_host_response_rate,n_accommodates,n_bedrooms,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_airconditioning,d_balcony,d_bathtub,d_bedlinens,d_breakfast,d_changingtable,d_cleaningproducts,d_complimentarybreakfastbuffet,d_conditioner,d_dedicatedworkspace,d_dedicatedworkspacetable,d_diningareafor12people,d_dryer,d_espressomachine,d_gasstove,d_hairdryer,d_hangers,d_hottub,d_inductionstove,d_ironingboard,d_laundromatnearby,d_luggagestorage,d_nespressomachine,d_piano,d_pool,d_portableairconditioning,d_roomdarkeningshades,d_samsungrefrigerator,d_sunloungers,d_valetparkingu2014u20ac30day,d_wifi,d_windowacunit,price,id,neighbourhood_cleansed,room_type,property_type,parking_free_vs_paid,parking_type,parking_on_vs_off_premises
Apt,Centro Storico,Paid,NA,On_premises,70,NA,4,1,1,100,1,0.07,2,1,452,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,24469,Centro Storico,Entire home/apt,Apartment,Paid,NA,On_premises
Apt,Centro Storico,Paid,NA,On_premises,70,NA,3,1,1,93,3,0.02,2,1,3743,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,24470,Centro Storico,Entire home/apt,Apartment,Paid,NA,On_premises
Apt,Centro Storico,Paid,NA,On_premises,135,NA,6,2,1.5,NA,0,NA,2,2,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,135,24471,Centro Storico,Entire home/apt,Apartment,Paid,NA,On_premises
Apt,Centro Storico,Paid,NA,On_premises,120,NA,6,2,1,60,2,0.02,2,2,3465,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120,24472,Centro Storico,Entire home/apt,Apartment,Paid,NA,On_premises
Apt,Gavinana Galluzzo,No_parking,No_parking,No_parking,75,NA,2,1,1,100,15,0.12,1,1,3739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,32120,Gavinana Galluzzo,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,No_parking,No_parking,No_parking,89,NA,4,2,2,95,20,0.16,3,4,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89,32180,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,No_parking,No_parking,No_parking,50,100,3,NA,1,91,33,0.31,3,1,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,39821,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,Paid,No_parking,Off_premises,75,100,4,2,1,86,25,0.2,4,2,3753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,39822,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,102,100,2,1,1,60,2,0.02,3,1,3105,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,102,42997,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,No_parking,No_parking,No_parking,144,100,3,1,1,80,1,0.01,3,2,3357,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,43365,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
