f_room_type,f_neighbourhood_cleansed,f_parking_free_vs_paid,f_parking_type,f_parking_on_vs_off_premises,euro_price_day,p_host_response_rate,n_accommodates,n_bedrooms,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_airconditioning,d_balcony,d_bathtub,d_bedlinens,d_breakfast,d_changingtable,d_cleaningproducts,d_complimentarybreakfastbuffet,d_conditioner,d_dedicatedworkspace,d_dedicatedworkspacetable,d_diningareafor12people,d_dryer,d_espressomachine,d_gasstove,d_hairdryer,d_hangers,d_hottub,d_inductionstove,d_ironingboard,d_laundromatnearby,d_luggagestorage,d_nespressomachine,d_piano,d_pool,d_portableairconditioning,d_roomdarkeningshades,d_samsungrefrigerator,d_sunloungers,d_valetparkingu2014u20ac30day,d_wifi,d_windowacunit,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,id,neighbourhood_cleansed,room_type,property_type,parking_free_vs_paid,parking_type,parking_on_vs_off_premises,ln_price,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,ln_review_scores_rating
Apt,Centro Storico,Paid,NA,On_premises,70,NA,4,1,1,100,1,0.07,2,1,452,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,204304,92345408,2,70,24469,Centro Storico,Apt,Apartment,Paid,NA,On_premises,4.248495242049359,1.3862943611198906,1.9218120556728056,0,0.6931471805599453,6.113682179832232,37.37710979599819,228.51177009342686,4.605170185988092
Apt,Centro Storico,Paid,NA,On_premises,70,NA,3,1,1,93,3,0.02,2,1,3743,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,14010049,52439613407,2,70,24470,Centro Storico,Apt,Apartment,Paid,NA,On_premises,4.248495242049359,1.0986122886681098,1.206948960812582,0,1.3862943611198906,8.22764270790443,67.69410452893294,556.9629054955954,4.532599493153256
Apt,Centro Storico,Paid,NA,On_premises,135,NA,6,2,1.5,NA,0,NA,2,2,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,0,NA,NA,2,135,24471,Centro Storico,Apt,Apartment,Paid,NA,On_premises,4.90527477843843,1.791759469228055,3.210401995568401,0.6931471805599453,0,NA,NA,NA,NA
Apt,Centro Storico,Paid,NA,On_premises,120,NA,6,2,1,60,2,0.02,2,2,3465,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,1,12006225,41601569625,2,120,24472,Centro Storico,Apt,Apartment,Paid,NA,On_premises,4.787491742782046,1.791759469228055,3.210401995568401,0.6931471805599453,1.0986122886681098,8.150467911624004,66.43012717841255,541.436619932753,4.0943445622221
Apt,Gavinana Galluzzo,No_parking,No_parking,No_parking,75,NA,2,1,1,100,15,0.12,1,1,3739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,13980121,52271672419,1,75,32120,Gavinana Galluzzo,Apt,Apartment,No_parking,No_parking,No_parking,4.31748811353631,0.6931471805599453,0.4804530139182014,0,2.772588722239781,8.226573474977114,67.67651113919703,556.7457914167114,4.605170185988092
Apt,Centro Storico,No_parking,No_parking,No_parking,89,NA,4,2,2,95,20,0.16,3,4,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,2,1,14745600,56623104000,3,89,32180,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.48863636973214,1.3862943611198906,1.9218120556728056,1.3862943611198906,3.044522437723423,8.253227645581772,68.11576656979524,562.1749277538287,4.553876891600541
Apt,Centro Storico,No_parking,No_parking,No_parking,50,100,3,NA,1,91,33,0.31,3,1,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,10188864,32522853888,3,50,39821,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,3.912023005428146,1.0986122886681098,1.206948960812582,0,3.5263605246161616,8.068402958569699,65.09912630185627,525.2459832541997,4.51085950651685
Apt,Centro Storico,Paid,No_parking,Off_premises,75,100,4,2,1,86,25,0.2,4,2,3753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,14085009,52861038777,3,75,39822,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,4.31748811353631,1.3862943611198906,1.9218120556728056,0.6931471805599453,3.258096538021482,8.23031079913502,67.73801585035854,557.504923365185,4.454347296253507
Apt,Centro Storico,No_parking,No_parking,No_parking,102,100,2,1,1,60,2,0.02,3,1,3105,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,9641025,29935382625,3,102,42997,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.624972813284271,0.6931471805599453,0.4804530139182014,0,1.0986122886681098,8.040768994367578,64.653966020783,519.8676053428069,4.0943445622221
Apt,Centro Storico,No_parking,No_parking,No_parking,144,100,3,1,1,80,1,0.01,3,2,3357,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,1,11269449,37831540293,3,144,43365,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.969813299576001,1.0986122886681098,1.206948960812582,0.6931471805599453,0.6931471805599453,8.118802996980035,65.914962103772,535.1505918739296,4.382026634673881
